index,direction,length,x,y
S1,-X,1.63,0.228,-4.296
S2,+X,1.63,1.858,-4.136
S3,-X,0.46,-0.232,-4.296
S4,+X,0.46,0.228,-4.136
S5,-X,1.57,-1.802,-4.296
S6,+X,1.57,-0.232,-4.136
S7,-X,0.46,-2.262,-4.296
S8,+X,0.46,-1.802,-4.136
S9,+Y,0.38,-2.112,-3.606
S10,-Y,0.38,-1.952,-3.986
S11,-Y,0.46,-1.952,-3.606
S12,+Y,0.46,-2.112,-3.146
S13,-X,1.57,-1.802,-3.456
S14,+X,1.57,-0.232,-3.296
S15,+Y,0.38,-0.072,-3.606
S16,-Y,0.38,0.078,-3.986
S17,+Y,0.46,-0.072,-3.146
S18,-Y,0.46,0.078,-3.606
S19,+X,0.46,0.228,-3.306
S20,-X,0.46,-0.232,-3.456
S21,-X,1.93,0.228,-3.456
S23,+X,1.98,2.158,-3.306
S26,-Y,0.46,2.468,-3.606
S27,+Y,0.46,2.308,-3.146
S28,-Y,0.54,2.468,-3.146
S29,+Y,0.54,2.308,-2.606
S30,-Y,0.54,0.078,-3.146
S31,+Y,0.54,-0.072,-2.596
S32,-Y,0.38,-1.062,-3.146
S33,+Y,0.38,-1.222,-2.766
S34,-Y,0.69,-1.952,-3.146
S35,+Y,0.69,-2.112,-2.466
S36,-Y,0.91,-2.722,-3.686
S37,+Y,0.91,-2.872,-2.766
S38,+Y,0.46,-2.112,-2.006
S39,+X,0.46,-1.802,-2.156
S40,-Y,0.46,-1.952,-2.466
S41,-X,0.46,-2.262,-2.316
S42,-X,0.13,-1.802,-2.316
S43,+X,0.13,-1.672,-2.156
S44,+Y,0.56,-2.112,-1.446
S441,+Y,0.328,-2.112,-1.446
S442,+Y,0.232,-2.112,-1.774
S45,-Y,0.56,-1.952,-2.006
S451,-Y,0.232,-1.952,-2.006
S452,-Y,0.328,-1.952,-1.774
S46,+Y,0.48,-0.232,-1.596
S47,+Y,1,-0.072,-1.596
S48,-Y,0.48,0.228,-2.086
S49,-Y,1,0.078,-2.606
S50,+Y,0.48,2.158,-1.596
S51,+Y,1,2.308,-1.596
S52,-Y,0.48,2.618,-2.086
S53,-Y,1,2.468,-2.606
S54,-Y,0.76,2.618,-1.596
S55,-Y,0.76,2.468,-1.596
S56,+Y,0.76,2.308,-0.836
S57,+Y,0.76,2.158,-0.836
S58,-X,1.63,0.378,-1.296
S59,-X,1.63,0.378,-1.446
S60,+X,1.63,2.008,-1.146
S61,+X,1.63,2.008,-0.986
S62,-X,0.76,-0.382,-1.296
S63,-X,0.76,-0.382,-1.446
S64,-Y,0.76,0.078,-1.596
S65,-Y,0.76,0.228,-1.596
S66,+Y,0.76,-0.072,-0.836
S67,+Y,0.76,-0.232,-0.836
S68,-X,1.16,-1.542,-1.296
S69,-X,0.64,-1.012,-1.446
S70,+X,0.76,0.378,-0.986
S71,+X,0.76,0.378,-1.146
S72,+X,1.16,-0.382,-1.146
S73,+X,0.64,-0.382,-0.986
S74,-X,0.27,-1.802,-1.296
S75,+X,0.27,-1.542,-1.146
S76,+Y,0.46,-2.112,-0.986
S77,-Y,0.46,-1.952,-1.446
S78,-Y,0.3,-1.952,-0.986
S79,+Y,0.3,-2.112,-0.686
S80,-Y,1.14,0.228,-0.836
S81,-Y,1.14,0.078,-0.836
S82,+Y,1.14,-0.072,0.304
S83,+Y,1.14,-0.232,0.304
S84,-Y,0.84,0.708,-0.536
S85,-Y,0.63,2.618,-0.836
S86,-Y,0.64,2.468,-0.836
S87,+Y,0.64,2.308,-0.206
S88,+Y,0.64,2.158,-0.206
S89,-X,0.48,0.637,0.759
S90,-X,0.5,0.724,0.913
S91,-X,1.35,-0.637,0.759
S911,-X,0.888,-0.637,0.759
S912,-X,0.462,0.251,0.759
S92,-X,1.45,-0.722,0.914
S93,+X,3.11,2.238,1.064
S94,+X,3.11,2.238,1.224
S941,+X,2.022,2.238,1.224
S942,+X,1.088,0.216,1.224
S95,-X,0.21,-0.874,0.762
S96,-X,0.23,-0.874,0.913
S999,+X,0.7,-0.232,-3.306
S999A,+X,0.87,-0.932,-3.306